cell,block_id,rw_Ah,rw_Wh,rw_D_steps,highA_s,Ah_start,Ah_end,Ah_drop
RW1,0,64.3313,223.426,413,64664.3,2.09503,2.00035,0.0946767
RW1,1,57.2334,198.752,371,56847.5,2.00035,1.95847,0.0418821
RW1,2,55.3444,193.267,363,52498.8,1.95847,1.9112,0.0472665
RW1,3,58.5693,204.313,389,57329.8,1.9112,1.86987,0.0413267
RW1,4,57.127,199.38,358,58324.3,1.86987,1.82659,0.043283
RW1,5,61.2247,212.761,382,60011.8,1.82659,1.78845,0.0381431
RW1,6,55.5103,192.669,335,55401.2,1.78845,1.74605,0.0424
RW1,7,51.4475,179.086,341,51428.8,1.74605,1.71418,0.0318694
RW1,8,50.4969,175.392,327,51444.6,1.71418,1.685,0.0291792
RW1,9,48.3635,168.455,326,48477.6,1.685,1.64428,0.0407181
RW1,10,44.9237,155.502,293,44892,1.64428,1.61831,0.0259736
RW1,11,21.2703,73.7131,145,20363.9,1.61831,1.59645,0.0218597
RW1,12,0,0,0,0,1.59645,1.87973,-0.28328
RW1,13,43.0614,148.833,278,43021.1,1.87973,1.62007,0.259659
RW1,14,37.8539,131.504,262,38172.9,1.62007,1.57155,0.0485167
RW1,15,38.7589,134.598,284,36697.9,1.57155,1.53612,0.0354319
RW1,16,36.2346,125.719,281,34606.3,1.53612,1.51149,0.0246292
RW1,17,24.8069,86.0367,190,25163.6,1.51149,1.45545,0.0560389
RW1,18,26.6443,92.4568,209,27336.2,1.45545,1.45001,0.00544445
RW1,19,23.7352,83.0301,196,24214,1.45001,1.38125,0.0687528
RW1,20,27.8555,96.6947,214,28302.4,1.38125,1.35408,0.0271695
RW1,21,9.08114,31.6729,74,8968.02,1.35408,1.33153,0.0225514
RW1,22,0,0,0,0,1.33153,1.76709,-0.43556
RW1,23,24.3001,84.7027,200,22957.5,1.76709,1.41666,0.350435
RW1,24,15.515,54.6737,159,14568.6,1.41666,1.25635,0.160311
RW1,25,0,0,0,0,1.25635,1.15893,0.0974125
RW2,0,77.5547,272.32,460,76676.6,2.06662,1.98692,0.0797002
RW2,1,70.2102,246.235,425,70138.1,1.98692,1.91572,0.0711955
RW2,2,66.7336,233.267,407,65798.6,1.91572,1.83625,0.079467
RW2,3,60.8706,212.33,384,61965,1.83625,1.75776,0.0784931
RW2,4,52.9474,185.09,353,48849,1.75776,1.705,0.0527653
RW2,5,52.5658,183.931,356,52625.9,1.705,1.65973,0.0452681
RW2,6,47.8454,167.231,324,48315.8,1.65973,1.63415,0.0255759
RW2,7,46.2423,160.961,317,45156.6,1.63415,1.59986,0.0342963
RW2,8,42.4551,147.195,288,40966.3,1.59986,1.58125,0.0186065
RW2,9,42.8687,148.328,292,40913.8,1.58125,1.56249,0.0187567
RW2,10,41.1123,142.389,284,38720.6,1.56249,1.52471,0.0377798
RW2,11,33.6128,115.924,229,33519,1.52471,1.49046,0.0342542
RW2,12,0,0,0,0,1.49046,1.81967,-0.329214
RW2,13,34.276,119.09,256,32858,1.81967,1.52376,0.295915
RW2,14,30.7256,106.258,220,30740.9,1.52376,1.45272,0.0710376
RW2,15,29.1885,101.649,229,28310.8,1.45272,1.42884,0.0238777
RW2,16,24.9478,87.0164,206,24703.3,1.42884,1.39769,0.0311559
RW2,17,23.103,80.5202,206,21543.9,1.39769,1.34218,0.0555066
RW2,18,18.9064,65.7393,167,20895,1.34218,1.28943,0.0527528
RW2,19,18.9655,65.7728,160,20926.5,1.28943,1.3026,-0.0131736
RW2,20,22.4145,77.7943,183,23253.3,1.3026,1.29459,0.00800683
RW2,21,20.5422,71.7135,171,21365.1,1.29459,1.31347,-0.0188818
RW2,22,0,0,0,0,1.31347,1.26114,0.0523319
RW2,23,0,0,0,0,1.26114,1.70337,-0.442223
RW2,24,22.6062,78.8759,195,21050.7,1.70337,1.35802,0.345347
RW2,25,14.9822,52.3263,143,15333.5,1.35802,1.24205,0.115973
RW2,26,13.0157,45.8873,138,12587.1,1.24205,1.15865,0.0833947
RW2,27,0,0,0,0,1.15865,1.12299,0.0356639
RW7,0,82.5834,290.595,505,78321.8,2.0646,1.99786,0.0667442
RW7,1,75.8081,265.384,455,76375.1,1.99786,1.94598,0.0518805
RW7,2,67.1443,234.018,404,65010.3,1.94598,1.88242,0.0635611
RW7,3,64.7827,225.577,382,63282.5,1.88242,1.82669,0.0557259
RW7,4,58.9943,205.695,373,57330.9,1.82669,1.77404,0.0526543
RW7,5,53.5827,186.818,351,54320.3,1.77404,1.71724,0.0567976
RW7,6,55.4019,192.886,363,56560.1,1.71724,1.61433,0.102907
RW7,7,48.106,166.885,329,44601,1.61433,1.65118,-0.0368479
RW7,8,46.7749,162.175,305,45005.8,1.65118,1.63166,0.0195222
RW7,9,46.2034,160.552,315,44345,1.63166,1.60511,0.0265523
RW7,10,41.4513,143.945,277,40695.2,1.60511,1.57721,0.0278971
RW7,11,30.2222,104.851,213,29453.3,1.57721,1.542,0.0352094
RW7,12,0,0,0,0,1.542,1.84553,-0.303528
RW7,13,42.1904,146.097,300,41508.2,1.84553,1.574,0.271531
RW7,14,37.5798,131.045,277,37622.2,1.574,1.50508,0.0689199
RW7,15,33.8892,117.92,266,30675.9,1.50508,1.46728,0.0378014
RW7,16,27.797,96.4596,217,28493.3,1.46728,1.41043,0.0568403
RW7,17,26.3103,91.003,208,25694,1.41043,1.35571,0.0547292
RW7,18,21.3697,74.3383,182,20604.6,1.35571,1.31887,0.036832
RW7,19,21.0384,73.2125,179,22374.2,1.31887,1.25362,0.0652528
RW7,20,21.0458,73.1907,171,21168.8,1.25362,1.21211,0.0415111
RW7,21,11.1041,38.6729,96,10499,1.21211,1.23231,-0.0201968
RW7,22,0,0,0,0,1.23231,1.51794,-0.28563
RW7,23,17.778,61.7227,148,19166.7,1.51794,1.30116,0.216776
RW7,24,14.3462,50.0316,144,14287.1,1.30116,1.12976,0.171399
RW7,25,10.7135,37.3835,116,9561.34,1.12976,1.06439,0.0653761
RW7,26,0,0,0,0,1.06439,1.04003,0.0243517
RW8,0,77.9442,273.444,452,77169.5,2.11731,1.98745,0.129859
RW8,1,69.3404,241.669,402,67502.9,1.98745,1.89586,0.0915917
RW8,2,63.6683,221.98,376,65457.2,1.89586,1.82405,0.0718014
RW8,3,59.3455,207.741,386,58467.6,1.82405,1.74998,0.0740694
RW8,4,56.5157,196.834,352,57395.6,1.74998,1.70726,0.0427222
RW8,5,50.9447,177.861,330,51795.1,1.70726,1.65376,0.0535014
RW8,6,48.4866,168.623,313,49259.1,1.65376,1.5232,0.130557
RW8,7,46.1819,161.015,320,42810.4,1.5232,1.59962,-0.0764124
RW8,8,43.9872,153.122,309,41883.9,1.59962,1.5699,0.0297166
RW8,9,42.4646,147.386,280,42049.2,1.5699,1.53822,0.0316778
RW8,10,40.8013,141.291,266,38419.2,1.53822,1.51685,0.0213722
RW8,11,27.3998,95.8548,203,25993.5,1.51685,1.47501,0.0418417
RW8,12,0,0,0,0,1.47501,1.87575,-0.400741
RW8,13,40.179,138.472,270,42704.2,1.87575,1.53976,0.335987
RW8,14,33.4498,116.247,245,32179.5,1.53976,1.47497,0.0647889
RW8,15,24.8755,86.5586,197,24437.7,1.47497,1.41997,0.055
RW8,16,22.5213,78.6634,185,23412,1.41997,1.36763,0.0523436
RW8,17,20.6661,71.8022,175,21803.2,1.36763,1.32867,0.0389592
RW8,18,20.8113,71.9594,170,22790.9,1.32867,1.27283,0.0558417
RW8,19,19.1714,67.2421,177,18161.8,1.27283,1.22932,0.0435111
RW8,20,17.2983,60.4264,149,17358.4,1.22932,1.21828,0.0110389
RW8,21,13.4607,47.3087,131,11857.7,1.21828,1.21768,0.00059584
RW8,22,0,0,0,0,1.21768,1.73847,-0.520791
RW8,23,17.4663,61.0948,152,19224.4,1.73847,1.30587,0.432607
RW8,24,14.1184,49.3172,143,13478.8,1.30587,1.17057,0.135292
RW8,25,0,0,0,0,1.17057,1.08128,0.089298
